394 & 1055 & 324 & 563 \\ 
386 & 1052 & 369 & 700 \\ 
383 & 1326 & 325 & 551 \\ 
393 & 1350 & 369 & 701 \\ 

397 & 1076 & 332 & 594 \\ 
372 & 1063 & 369 & 720 \\ 
395 & 1247 & 343 & 589 \\ 
367 & 1239 & 362 & 691 \\ 
0 & 0 & 0 & 0 \\ 
426 & 1112 & 330 & 583 \\ 
414 & 1081 & 367 & 700 \\ 
406 & 1398 & 321 & 555 \\ 
409 & 1392 & 357 & 686 \\ 
403 & 1098 & 328 & 584 \\ 
380 & 1099 & 370 & 719 \\ 
399 & 1341 & 341 & 593 \\ 
378 & 1328 & 358 & 695 \\ 
0 & 0 & 0 & 0 \\ 
668 & 1673 & 474 & 812 \\ 
472 & 1178 & 380 & 721 \\ 
478 & 1663 & 352 & 589 \\ 
488 & 1689 & 393 & 742 \\ 
421 & 1202 & 341 & 607 \\ 
400 & 1184 & 377 & 731 \\ 
418 & 1555 & 345 & 606 \\ 
403 & 1563 & 378 & 718 \\ 
0 & 0 & 0 & 0 \\ 
379 & 1043 & 328 & 568 \\ 
370 & 1025 & 374 & 694 \\ 
372 & 1245 & 327 & 563 \\ 
367 & 1237 & 359 & 686 \\ 

398 & 1036 & 320 & 603 \\ 
381 & 1056 & 372 & 723 \\ 
400 & 1277 & 347 & 613 \\ 
400 & 1277 & 371 & 728 \\ 
0 & 0 & 0 & 0 \\ 
372 & 1052 & 338 & 563 \\ 
377 & 1062 & 380 & 718 \\ 
363 & 1271 & 337 & 562 \\ 
365 & 1271 & 370 & 702 \\ 
401 & 1054 & 329 & 610 \\ 
388 & 1078 & 382 & 741 \\ 
398 & 1287 & 350 & 608 \\ 
415 & 1348 & 390 & 770 \\ 
0 & 0 & 0 & 0 \\ 
493 & 1149 & 344 & 598 \\ 
487 & 1164 & 393 & 733 \\ 
495 & 1608 & 354 & 612 \\ 
491 & 1581 & 369 & 725 \\ 

421 & 1158 & 317 & 582 \\ 
440 & 1239 & 396 & 776 \\ 
433 & 1560 & 357 & 610 \\ 
431 & 1559 & 374 & 746 \\ 
0 & 0 & 0 & 0 \\ 
415 & 1070 & 326 & 559 \\ 
422 & 1097 & 372 & 713 \\ 
414 & 1399 & 334 & 552 \\ 
410 & 1389 & 359 & 683 \\ 

421 & 1155 & 351 & 619 \\ 
386 & 1110 & 379 & 736 \\ 
412 & 1404 & 365 & 620 \\ 
391 & 1375 & 373 & 726 \\ 
0 & 0 & 0 & 0 \\ 
575 & 1279 & 322 & 564 \\ 
583 & 1309 & 379 & 724 \\ 
558 & 1904 & 324 & 549 \\ 
558 & 1895 & 359 & 683 \\ 
442 & 1284 & 335 & 599 \\ 
423 & 1291 & 375 & 727 \\ 
439 & 1832 & 349 & 601 \\ 
415 & 1839 & 365 & 701 \\ 
0 & 0 & 0 & 0 \\ 
586 & 1265 & 336 & 590 \\ 
561 & 1268 & 381 & 694 \\ 
588 & 1910 & 342 & 593 \\ 
568 & 1901 & 363 & 700 \\ 
439 & 1276 & 335 & 594 \\ 
438 & 1280 & 378 & 728 \\ 
435 & 1843 & 347 & 603 \\ 
432 & 1840 & 368 & 732 \\ 
0 & 0 & 0 & 0 \\ 
607 & 1272 & 324 & 565 \\ 
613 & 1287 & 373 & 714 \\ 
631 & 2029 & 349 & 585 \\ 
622 & 1992 & 381 & 718 \\ 

489 & 1322 & 338 & 606 \\ 
484 & 1364 & 397 & 765 \\ 
499 & 1943 & 365 & 624 \\ 
465 & 1873 & 373 & 719 \\ 
0 & 0 & 0 & 0 \\ 
369 & 1017 & 320 & 555 \\ 
374 & 1032 & 369 & 704 \\ 
365 & 1243 & 324 & 552 \\ 
366 & 1235 & 360 & 684 \\ 
407 & 1065 & 327 & 613 \\ 
376 & 1052 & 369 & 721 \\ 
399 & 1290 & 350 & 616 \\ 
403 & 1293 & 376 & 735 \\ 
0 & 0 & 0 & 0 \\ 
364 & 1008 & 315 & 545 \\ 
379 & 1049 & 373 & 713 \\ 
377 & 1305 & 334 & 564 \\ 
365 & 1254 & 357 & 680 \\ 
398 & 1034 & 319 & 598 \\ 
388 & 1074 & 377 & 739 \\ 
406 & 1310 & 350 & 619 \\ 
404 & 1322 & 376 & 743 \\ 
0 & 0 & 0 & 0 \\ 
416 & 1094 & 351 & 624 \\ 
373 & 1040 & 375 & 704 \\ 
388 & 1243 & 340 & 596 \\ 
372 & 1238 & 360 & 696 \\ 
410 & 1073 & 334 & 600 \\ 
411 & 1058 & 368 & 747 \\ 
415 & 1335 & 365 & 606 \\ 
424 & 1339 & 381 & 769 \\ 
0 & 0 & 0 & 0 \\ 
383 & 1065 & 338 & 579 \\ 
386 & 1066 & 386 & 736 \\ 
375 & 1299 & 346 & 566 \\ 
368 & 1275 & 367 & 694 \\ 
393 & 1053 & 332 & 599 \\ 
374 & 1058 & 373 & 731 \\ 
407 & 1348 & 359 & 633 \\ 
382 & 1319 & 386 & 745 \\ 
0 & 0 & 0 & 0 \\ 
378 & 1056 & 337 & 567 \\ 
380 & 1054 & 376 & 733 \\ 
383 & 1306 & 344 & 584 \\ 
381 & 1290 & 380 & 719 \\ 
402 & 1065 & 337 & 602 \\ 
375 & 1044 & 372 & 719 \\ 
405 & 1310 & 348 & 613 \\ 
385 & 1307 & 378 & 744 \\ 
0 & 0 & 0 & 0 \\ 
386 & 1037 & 317 & 553 \\ 
386 & 1044 & 363 & 693 \\ 
380 & 1317 & 322 & 548 \\ 
381 & 1312 & 357 & 679 \\ 
395 & 1061 & 327 & 581 \\ 
385 & 1092 & 381 & 739 \\ 
394 & 1251 & 346 & 594 \\ 
379 & 1260 & 366 & 717 \\ 
0 & 0 & 0 & 0 \\ 
417 & 1121 & 337 & 564 \\ 
419 & 1113 & 377 & 713 \\ 
418 & 1465 & 345 & 577 \\ 
411 & 1420 & 370 & 715 \\ 
400 & 1111 & 333 & 588 \\ 
389 & 1130 & 381 & 728 \\ 
409 & 1393 & 347 & 605 \\ 
389 & 1384 & 377 & 726 \\ 
0 & 0 & 0 & 0 \\ 
399 & 1045 & 337 & 603 \\ 
374 & 1043 & 381 & 707 \\ 
399 & 1257 & 344 & 612 \\ 
389 & 1260 & 364 & 726 \\ 
396 & 1064 & 326 & 606 \\ 
395 & 1054 & 371 & 746 \\ 
398 & 1308 & 355 & 620 \\ 
396 & 1291 & 360 & 733 \\ 
0 & 0 & 0 & 0 \\ 
476 & 1302 & 388 & 691 \\ 
537 & 1476 & 527 & 988 \\ 
424 & 1354 & 373 & 639 \\ 
385 & 1272 & 371 & 713 \\ 
423 & 1101 & 335 & 608 \\ 
437 & 1185 & 421 & 816 \\ 
429 & 1386 & 371 & 648 \\ 
397 & 1257 & 368 & 722 \\ 
0 & 0 & 0 & 0 \\ 
393 & 1149 & 331 & 582 \\ 
405 & 1093 & 395 & 755 \\ 
380 & 1330 & 335 & 597 \\ 
402 & 1435 & 387 & 753 \\ 
411 & 1147 & 353 & 648 \\ 
385 & 1079 & 386 & 751 \\ 
410 & 1388 & 364 & 658 \\ 
369 & 1263 & 369 & 689 \\ 
0 & 0 & 0 & 0 \\ 
598 & 1416 & 335 & 591 \\ 
598 & 1343 & 386 & 740 \\ 
578 & 1960 & 334 & 570 \\ 
584 & 1962 & 373 & 710 \\ 
448 & 1360 & 353 & 634 \\ 
439 & 1352 & 397 & 770 \\ 
436 & 1938 & 362 & 627 \\ 
459 & 1886 & 381 & 755 \\ 
